6511.56997, 3,   4.489,  8.885, -1.108, 4,   0.010, -0.004, -0.012
6511.58883, 3,   4.286,  8.468, -0.622
6511.60769, 3,   4.475,  8.822, -0.598
6511.62579, 3,   4.475,  8.822, -0.598
6511.64388, 3,   4.475,  8.822, -0.598
6511.66198, 3,   4.577,  8.702, -0.498
6511.68008, 3,   4.680,  8.581, -0.397
6511.69949, 3,   4.711,  8.605, -0.280, 4,   0.002,  0.005, -0.012, 5, -33.260,-42.262,-12.657
6511.71886, 3,   4.513,  9.007, -0.548
6511.73827, 3,   4.704,  8.404, -0.261
6511.75768, 3,   4.321,  8.897, -0.538
6511.77639, 3,   4.695,  8.772, -0.512, 5, -33.051,-42.058,-11.464
6511.79507, 3,   4.278,  8.595, -0.187
6511.81377, 3,   4.891,  8.861, -0.569
6511.83263, 3,   4.393,  8.597, -0.285, 4,   0.004,  0.004, -0.011
6511.85149, 3,   4.683,  8.705, -0.459
6511.87035, 3,   4.652,  8.892, -0.388
6511.88924, 3,   4.778,  8.411, -0.361, 4,   0.006,  0.004, -0.002, 5, -32.910,-42.500,-12.808
6511.90813, 3,   4.274,  9.014, -0.507
6511.92702, 3,   4.822,  8.624, -0.390
6511.94591, 3,   4.317,  8.504, -0.380, 4,   0.013,  0.003, -0.007, 5, -32.925,-42.845,-13.403
6511.96477, 3,   4.762,  9.019, -0.601
6511.98367, 3,   4.398,  8.511, -0.223
6512.00256, 3,   4.496,  8.626, -0.467, 4,   0.014,  0.004, -0.016, 5, -33.395,-41.968,-12.704
6512.02142, 3,   4.465,  8.949, -0.586
6512.04031, 3,   4.558,  8.389, -0.179
6512.05917, 3,   4.317,  8.861, -0.589, 4,   0.014,  0.002, -0.019
6512.07803, 3,   4.647,  8.729, -0.421
6512.09689, 3,   4.283,  8.418, -0.416
6512.11578, 3,   4.609,  8.916, -0.462, 4,   0.017,  0.002, -0.017, 5, -32.593,-42.044,-12.808
6512.13467, 3,   4.355,  8.490, -0.447
6512.15356, 3,   4.252,  8.559, -0.158
6512.17245, 3,   4.532,  8.777, -0.598, 4,   0.014,  0.001, -0.014, 5, -32.581,-43.143,-12.819
6512.19131, 3,   4.195,  8.327, -0.299
6512.21020, 3,   4.305,  8.746, -0.586
6512.22909, 3,   4.374,  8.662, -0.311, 4,   0.018,  0.001, -0.010
6512.24795, 3,   4.415,  8.241, -0.414
6512.26684, 3,   4.283,  8.808, -0.469
6512.28570, 3,   4.475,  8.439, -0.558, 4,   0.021,  0.002,  0.000, 5, -31.247,-42.299,-13.695
6512.30456, 3,   4.075,  8.377, -0.538
6512.32342, 3,   4.656,  8.770, -0.603
6512.34231, 3,   4.326,  8.171, -0.136, 4,   0.024,  0.001,  0.008, 5, -33.156,-42.615,-12.257
6512.36117, 3,   4.410,  8.576, -0.586
6512.38006, 3,   4.132,  8.545, -0.586
6512.39894, 3,   4.300,  8.205, -0.345, 4,   0.015,  0.002,  0.007, 5, -31.947,-42.360,-12.767
6512.41780, 3,   4.097,  8.691, -0.574
6512.43669, 3,   4.475,  8.313, -0.479
6512.45558, 3,   3.970,  8.356, -0.436, 4,   0.019,  0.002, -0.005
6512.47444, 3,   4.551,  8.617, -0.589
6512.49333, 3,   3.893,  8.152, -0.294
6512.51222, 3,   4.199,  8.602, -0.641, 4,   0.022,  0.005,  0.003, 5, -31.850,-42.471,-13.254
6512.53108, 3,   4.106,  8.447, -0.658
6512.54997, 3,   4.197,  8.210, -0.366
6512.56883, 3,   4.360,  8.772, -0.804, 4,   0.026,  0.008,  0.006, 5, -32.153,-42.917,-13.013
6512.58769, 3,   4.403,  8.133, -0.471
6512.60655, 3,   4.226,  8.454, -0.589
6512.62544, 3,   4.616,  8.643, -0.792, 4,   0.026,  0.012,  0.020, 5, -31.641,-42.207,-12.802
6512.64433, 3,   3.955,  8.236, -0.036
6512.66322, 3,   4.496,  8.597, -1.306
6512.68208, 3,   4.467,  8.468, -0.318, 4,   0.018,  0.014,  0.013, 5, -33.034,-41.307,-10.150
6512.70094, 3,   3.793,  8.361, -0.428
6512.71980, 3,   4.108,  8.798, -0.861
6512.73869, 3,   3.663,  8.246, -0.323, 4,   0.014,  0.015, -0.001, 5, -32.817,-41.122,-12.303
6512.75758, 3,   4.008,  8.605, -0.706
6512.77647, 3,   4.510,  8.583, -0.593
6512.79536, 3,   4.441,  8.215, -0.572, 4,   0.014,  0.017,  0.010, 5, -32.141,-42.485,-12.823
6512.81422, 3,   4.618,  8.786, -0.787
6512.83311, 3,   4.688,  8.483, -0.656
6512.85200, 3,   4.460,  8.356, -0.366, 4,   0.012,  0.019,  0.067
6512.87086, 3,   5.023,  8.786, -0.909
6512.88975, 3,   4.324,  8.356,  0.026
6512.90861, 3,   4.781,  8.588, -1.199, 4,  -0.001,  0.018,  0.065, 5, -32.744,-41.910,-12.665
6512.92747, 3,   4.556,  8.719, -0.325
6512.94633, 3,   4.549,  8.339, -0.440
6512.96522, 3,   4.731,  8.825, -0.814, 4,  -0.001,  0.018,  0.042, 5, -32.693,-42.276,-12.689
6512.98412, 3,   4.862,  8.392, -0.230
6513.00301, 3,   4.257,  8.640, -0.727
6513.02190, 3,   5.204,  8.614, -0.457, 4,  -0.008,  0.020,  0.033, 5, -33.418,-41.830,-12.424
6513.04076, 3,   4.441,  8.416, -0.579
6513.05965, 3,   5.051,  8.853, -0.349
6513.07854, 3,   4.470,  8.538, -0.680, 4,  -0.010,  0.019,  0.030, 5, -32.140,-41.742,-13.550
6513.09740, 3,   4.984,  8.389, -0.261
6513.11629, 3,   4.747,  8.923, -0.943
6513.13515, 3,   4.747,  8.305,  0.093, 4,  -0.006,  0.021,  0.027, 5, -33.096,-42.255,-13.193
6513.15401, 3,   4.924,  8.688, -1.096
6513.17287, 3,   5.073,  8.612, -0.203
6513.19176, 3,   4.479,  8.497, -0.234, 4,  -0.012,  0.019,  0.028, 5, -33.101,-41.759,-13.210
6513.21065, 3,   5.391,  8.724, -1.065
6513.22954, 3,   4.826,  8.361, -0.029
6513.24840, 3,   4.793,  8.614, -0.677, 4,  -0.006,  0.020,  0.029
6513.26726, 3,   5.085,  8.719, -0.234
6513.28612, 3,   4.819,  8.255, -0.620
6513.30501, 3,   4.877,  8.999, -0.297, 4,  -0.006,  0.018,  0.020, 5, -35.588,-41.554,-12.793
6513.32390, 3,   4.987,  8.454, -0.675
6513.34279, 3,   4.845,  8.327, -0.057
6513.36168, 3,   4.975,  8.908, -0.924, 4,  -0.007,  0.018,  0.010, 5, -33.717,-42.181,-12.560
6513.38054, 3,   4.862,  8.408,  0.120
6513.39943, 3,   4.790,  8.566, -0.821
6513.41832, 3,   5.085,  8.755, -0.495, 4,  -0.001,  0.017,  0.006, 5, -33.177,-41.753,-12.758
6513.43718, 3,   4.585,  8.334, -0.048
6513.45607, 3,   5.281,  8.746, -0.878
6513.47493, 3,   4.972,  8.504, -0.163, 4,  -0.003,  0.017,  0.007, 5, -33.649,-41.489,-11.800
6513.49379, 3,   4.915,  8.432, -0.543
6513.51265, 3,   4.970,  8.743, -0.342
6513.53154, 3,   4.831,  8.387, -0.565, 4,   0.001,  0.017, -0.001, 5, -34.163,-41.998,-13.306
6513.55043, 3,   4.556,  8.612, -0.316
6513.56932, 3,   4.982,  8.588, -0.572
6513.58821, 3,   4.269,  8.353, -0.086, 4,   0.005,  0.016, -0.020, 5, -33.621,-41.364,-12.372
6513.60707, 3,   5.140,  8.784, -0.914
6513.62596, 3,   4.817,  8.332, -0.033
6513.64485, 3,   5.066,  8.478, -0.794, 4,   0.005,  0.015, -0.021
6513.66371, 3,   4.637,  8.602, -0.285
6513.68260, 3,   4.927,  8.349, -0.455
6513.70146, 3,   4.757,  8.552, -0.682, 4,   0.012,  0.015, -0.016, 5, -33.333,-41.924,-13.675
6513.72032, 3,   4.991,  8.401, -0.462
6513.73918, 3,   4.673,  8.545, -0.306
6513.75807, 3,   4.778,  8.325, -0.605, 4,   0.009,  0.014, -0.035, 5, -32.799,-41.736,-12.614
6513.77693, 3,   4.432,  8.420, -0.452
6513.79582, 3,   4.635,  8.550, -0.670
6513.81471, 3,   4.503,  8.339, -0.383, 4,   0.009,  0.014, -0.057, 5, -32.140,-41.444,-12.500
6513.83357, 3,   4.554,  8.396, -0.541
6513.85246, 3,   4.542,  8.511, -0.663
6513.87135, 3,   4.695,  8.389, -0.100, 4,   0.007,  0.014, -0.065, 5, -32.925,-42.770,-12.831
6513.89021, 3,   4.704,  8.260, -1.347
6513.90910, 3,   4.685,  8.540, -0.127
6513.92799, 3,   4.733,  8.346, -0.802, 4,   0.006,  0.015, -0.058, 5, -33.408,-41.792,-13.521
6513.94685, 3,   4.499,  8.389, -0.455
6513.96574, 3,   4.458,  8.351, -0.871
6513.98460, 3,   4.211,  8.456, -0.230, 4,   0.006,  0.015, -0.074, 5, -32.661,-42.139,-13.068
6514.00346, 3,   4.453,  8.368, -0.694
6514.02232, 3,   3.886,  8.308, -0.675
6514.04121, 3,   4.465,  8.643, -0.380, 4,  -0.003,  0.017, -0.091
6514.06010, 3,   4.003,  8.420, -0.498
6514.07899, 3,   4.575,  8.215, -0.493
6514.09785, 3,   4.207,  8.684, -1.117, 4,  -0.001,  0.016, -0.069, 5, -31.082,-41.977,-12.241
6514.11671, 3,   4.551,  8.296,  0.244
6514.13557, 3,   4.376,  8.430, -1.290
6514.15446, 3,   4.984,  8.530, -0.223, 4,   0.003,  0.019, -0.027, 5, -31.888,-41.449,-13.094
6514.17335, 3,   4.068,  8.341, -0.751
6514.19224, 3,   4.714,  8.509, -0.581
6514.21114, 3,   4.353,  8.349, -0.476, 4,  -0.007,  0.019, -0.013, 5, -32.204,-42.850,-11.990
6514.23000, 3,   4.544,  8.578, -0.663
6514.24889, 3,   4.372,  8.583, -0.287
6514.26778, 3,   4.644,  8.236, -1.015, 4,  -0.005,  0.021, -0.020
6514.28664, 3,   4.510,  8.825, -0.127
6514.30553, 3,   4.290,  8.526, -0.778
6514.32439, 3,   4.489,  8.435, -0.189, 4,  -0.007,  0.020, -0.019, 5, -31.842,-42.773,-13.277
6514.34325, 3,   4.824,  8.813, -1.144
6514.36211, 3,   4.381,  8.456,  0.251
6514.38100, 3,   4.475,  8.696, -1.070, 4,  -0.014,  0.020, -0.015, 5, -32.503,-42.772,-11.896
6514.39989, 3,   4.623,  8.652, -0.268
6514.41878, 3,   4.353,  8.547, -0.457
6514.43767, 3,   4.520,  8.882, -0.692, 4,  -0.008,  0.019, -0.015
6514.45653, 3,   4.580,  8.428,  0.093
6514.47542, 3,   4.704,  8.923, -1.089
6514.49431, 3,   4.252,  8.782,  0.258, 4,  -0.013,  0.019, -0.020, 5, -33.081,-43.509,-14.111
6514.51317, 3,   4.604,  8.466, -1.218
6514.53206, 3,   4.597,  9.054,  0.208
6514.55092, 3,   4.374,  8.619, -0.677, 4,  -0.014,  0.019, -0.020, 5, -31.781,-42.232,-12.381
6514.56978, 3,   4.520,  8.760, -0.234
6514.58864, 3,   4.991,  8.839, -0.768
6514.60753, 3,   4.123,  8.715,  0.100, 4,  -0.005,  0.018, -0.020, 5, -30.969,-42.792,-12.654
6514.62642, 3,   4.793,  8.825, -0.780
6514.64531, 3,   4.214,  8.638, -0.266
6514.66417, 3,   4.700,  8.870, -0.208, 4,  -0.010,  0.016, -0.021
6514.68303, 3,   4.298,  8.916, -0.615
6514.70189, 3,   4.860,  8.454,  0.086
6514.72078, 3,   4.566,  9.277, -1.151, 4,  -0.003,  0.014, -0.022, 5, -31.650,-42.877,-14.095
6514.73967, 3,   4.869,  8.559,  0.581
6514.75856, 3,   4.403,  8.753, -1.230
6514.77745, 3,   4.881,  8.916,  0.227, 4,   0.005,  0.013, -0.015, 5, -32.535,-43.793,-13.171
6514.79631, 3,   3.946,  8.612, -0.605
6514.81520, 3,   4.984,  8.906, -0.409
6514.83409, 3,   4.580,  8.564, -0.266, 4,  -0.000,  0.010, -0.022
6514.85295, 3,   4.671,  8.935, -0.469
6514.87184, 3,   4.350,  8.667, -0.033
6514.89070, 3,   4.597,  8.490, -0.866, 4,   0.011,  0.010, -0.021, 5, -32.106,-43.037,-12.810
6514.90956, 3,   4.515,  9.078,  0.057
6514.92842, 3,   4.503,  8.571, -0.816
6514.94731, 3,   4.692,  8.578,  0.074, 4,   0.014,  0.005, -0.022, 5, -30.687,-42.580,-13.245
6514.96620, 3,   4.606,  8.904, -1.204
6514.98509, 3,   4.211,  8.547,  0.550
6515.00398, 3,   4.707,  8.736, -1.297, 4,   0.012,  0.002, -0.016, 5, -31.978,-43.352,-14.102
6515.02284, 3,   4.506,  8.550,  0.055
6515.04173, 3,   4.326,  8.736, -0.617
6515.06062, 3,   4.499,  8.607, -0.440, 4,   0.023, -0.001, -0.019
6515.07948, 3,   4.283,  8.483, -0.309
6515.09837, 3,   4.357,  8.877, -0.936
6515.11723, 3,   4.326,  8.485,  0.354, 4,   0.015, -0.003, -0.016, 5, -31.648,-42.946,-14.854
6515.13609, 3,   4.231,  8.557, -1.464
6515.15495, 3,   4.221,  8.710,  0.390
6515.17384, 3,   4.238,  8.471, -1.280, 4,   0.016, -0.006, -0.007, 5, -31.566,-43.764,-13.124
6515.19270, 3,   4.324,  8.597,  0.220
6515.21159, 3,   4.242,  8.547, -1.113
6515.23048, 3,   4.288,  8.506, -0.038, 4,   0.027, -0.006,  0.011
6515.24934, 3,   4.673,  8.475, -0.888
6515.26823, 3,   4.025,  8.420, -0.433
6515.28712, 3,   4.506,  8.760, -0.397, 4,   0.017, -0.008,  0.030, 5, -30.415,-43.733,-13.152
6515.30598, 3,   4.436,  8.327, -0.893
6515.32487, 3,   4.594,  8.377, -0.136
6515.34376, 3,   4.030,  8.700, -1.440, 4,   0.022, -0.008,  0.026, 5, -31.427,-43.430,-14.244
